predicates,k,BASE_PRE_SEARCH_recall,BASE_POS_SEARCH_recall,ADAP_PRE_SEARCH_recall,ADAP_POS_SEARCH_recall,BASE_PRE_SEARCH_precision,BASE_POS_SEARCH_precision,ADAP_PRE_SEARCH_precision,ADAP_POS_SEARCH_precision,BASE_PRE_SEARCH_ndcg,BASE_POS_SEARCH_ndcg,ADAP_PRE_SEARCH_ndcg,ADAP_POS_SEARCH_ndcg,BASE_PRE_SEARCH_num_results,BASE_POS_SEARCH_num_results,ADAP_PRE_SEARCH_num_results,ADAP_POS_SEARCH_num_results
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",10,1.0,1.0,0.6,0.9,1.0,1.0,0.6,0.9,1.0,1.0,0.7258238065214063,0.9358412980651992,10,10,10,10
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",50,0.98,1.0,0.64,0.92,0.98,1.0,0.64,0.92,0.988695693514656,1.0,0.7551073750062416,0.95336815176018,50,50,50,50
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",100,0.96,1.0,0.45,0.95,0.96,1.0,0.45,0.95,0.9761766691098337,1.0,0.6144680220471974,0.9705435042932017,100,100,100,100
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",200,0.91,1.0,0.565,0.98,0.91,1.0,0.565,0.98,0.9419429491932553,1.0,0.7057330418123794,0.9873794968507852,200,200,200,200
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",500,0.81,1.0,0.568,0.994,0.81,1.0,0.568,0.994,0.871426652001123,1.0,0.6923637224327469,0.9965063997237992,500,500,500,500
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",1000,0.684,1.0,0.578,1.0,0.684,1.0,0.578,1.0,0.7780721774371552,1.0,0.6985117600847583,1.0,1000,1000,1000,1000
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",2500,0.8884,1.0,0.7388,1.0,0.8884,1.0,0.7388,1.0,0.9266574233947559,1.0,0.8234979712199689,1.0,2500,2500,2500,2500
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",5000,0.77,1.0,0.867,1.0,0.77,1.0,0.867,1.0,0.8644378064603117,1.0,0.9264658088835923,1.0,5000,5000,5000,5000
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",6000,0.729,1.0,0.9025,1.0,0.729,1.0,0.9025,1.0,0.8487970210612317,1.0,0.9507871423530977,1.0,6000,6000,6000,6000
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",7000,1.0,1.0,0.9414285714285714,1.0,1.0,1.0,0.9414285714285714,1.0,1.0,1.0,0.9752540452251359,1.0,7000,7000,7000,7000
"[Predicate(key='token_count', value=300, operator='>='), Predicate(key='revdate', value='2025-02-19 18:42:17', operator='>=')]",10000,1.0,1.0,0.999,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0000947182328073,1.0,10000,10000,10000,10000
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",10,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,1.0,1.0,0.8891540895269449,0.8891540895269449,10,10,10,10
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",50,1.0,1.0,0.56,0.94,1.0,1.0,0.56,0.94,1.0,1.0,0.7098061934228381,0.963939974318028,50,50,50,50
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",100,0.98,1.0,0.59,0.89,0.98,1.0,0.59,0.89,0.9887413511479565,1.0,0.7312432619534128,0.9368926622431044,100,100,100,100
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",200,0.94,1.0,0.605,0.835,0.94,1.0,0.605,0.835,0.9636054217288682,1.0,0.7373817447595558,0.8957860854140719,200,200,200,200
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",500,0.868,1.0,0.5,0.868,0.868,1.0,0.5,0.868,0.9115756822463983,1.0,0.6487335972897611,0.9115756822463983,500,500,500,500
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",1000,0.79,1.0,0.548,0.933,0.79,1.0,0.548,0.933,0.852237148525241,1.0,0.6690854050545482,0.9543164368034208,1000,1000,1000,1000
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",2500,0.6216,1.0,0.6192,0.9944,0.6216,1.0,0.6192,0.9944,0.7227011540891581,1.0,0.7208355054049977,0.9960421483874369,2500,2500,2500,2500
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",5000,0.8958,1.0,0.7638,1.0,0.8958,1.0,0.7638,1.0,0.9294076245387023,1.0,0.8351852462263195,1.0,5000,5000,5000,5000
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",6000,0.8741666666666666,1.0,0.7983333333333333,1.0,0.8741666666666666,1.0,0.7983333333333333,1.0,0.9164616402100203,1.0,0.8640991728434585,1.0,6000,6000,6000,6000
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",7000,0.8467142857142858,1.0,0.8212857142857143,1.0,0.8467142857142858,1.0,0.8212857142857143,1.0,0.9013145764436384,1.0,0.8844749943435796,1.0,7000,7000,7000,7000
"[Predicate(key='token_count', value=51, operator='>='), Predicate(key='revdate', value='2025-02-19 13:58:20', operator='>=')]",10000,0.7701,1.0,0.8766,1.0,0.7701,1.0,0.8766,1.0,0.863844505530125,1.0,0.9313107924899198,1.0,10000,10000,10000,10000
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9462204193978832,0.9462204193978832,10,10,10,10
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",50,1.0,1.0,0.5,0.82,1.0,1.0,0.5,0.82,1.0,1.0,0.6687594964975946,0.888660225728117,50,50,50,50
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",100,0.99,1.0,0.66,0.92,0.99,1.0,0.66,0.92,0.9944837860890069,1.0,0.7723877455545216,0.9537198481919236,100,100,100,100
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",200,0.965,1.0,0.56,0.855,0.965,1.0,0.56,0.855,0.9784573428807475,1.0,0.6992085603381701,0.9080292442271541,200,200,200,200
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",500,0.896,1.0,0.53,0.844,0.896,1.0,0.53,0.844,0.92950501653496,1.0,0.6713126457372731,0.8958367686804329,500,500,500,500
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",1000,0.809,1.0,0.542,0.875,0.809,1.0,0.542,0.875,0.8664677542564204,1.0,0.6665096296237519,0.9143461182408089,1000,1000,1000,1000
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",2500,0.6628,1.0,0.5788,0.9728,0.6628,1.0,0.5788,0.9728,0.7528906808933036,1.0,0.6885410616329244,0.9817345590201355,2500,2500,2500,2500
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",5000,0.9154,1.0,0.7396,0.9998,0.9154,1.0,0.7396,0.9998,0.9415690745882022,1.0,0.8122257972422643,0.9998917831840219,5000,5000,5000,5000
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",6000,0.8966666666666666,1.0,0.7625,1.0,0.8966666666666666,1.0,0.7625,1.0,0.9298091222936056,1.0,0.8336461196854501,1.0,6000,6000,6000,6000
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",7000,0.8792857142857143,1.0,0.7898571428571428,1.0,0.8792857142857143,1.0,0.7898571428571428,1.0,0.9192001350012243,1.0,0.8564783982772797,1.0,7000,7000,7000,7000
"[Predicate(key='token_count', value=45, operator='>='), Predicate(key='revdate', value='2025-02-19 10:27:14', operator='>=')]",10000,0.813,1.0,0.8489,1.0,0.813,1.0,0.8489,1.0,0.8834444854750942,1.0,0.9071613309284111,1.0,10000,10000,10000,10000
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9448516043217319,0.9448516043217319,10,10,10,10
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",50,1.0,1.0,0.52,0.78,1.0,1.0,0.52,0.78,1.0,1.0,0.6746047184959242,0.8600726093839068,50,50,50,50
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",100,0.98,1.0,0.7,0.86,0.98,1.0,0.7,0.86,0.9887663054899827,1.0,0.8001261436535293,0.9100592090477709,100,100,100,100
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",200,0.97,1.0,0.58,0.885,0.97,1.0,0.58,0.885,0.9809380234524517,1.0,0.705998459432878,0.9261254813699843,200,200,200,200
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",500,0.896,1.0,0.572,0.802,0.896,1.0,0.572,0.802,0.9300097353598243,1.0,0.7009145375280846,0.8655798719476143,500,500,500,500
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",1000,0.822,1.0,0.554,0.835,0.822,1.0,0.554,0.835,0.8760750984317208,1.0,0.6771145896463515,0.8853840040513098,1000,1000,1000,1000
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",2500,0.6796,1.0,0.5688,0.9464,0.6796,1.0,0.5688,0.9464,0.7664851153567027,1.0,0.6824301372024146,0.9628056158525766,2500,2500,2500,2500
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",5000,0.5458,1.0,0.6962,0.9932,0.5458,1.0,0.6962,0.9932,0.6614792814773585,1.0,0.7804206618253162,0.9952929624879757,5000,5000,5000,5000
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",6000,0.9053333333333333,1.0,0.7555,0.9988333333333334,0.9053333333333333,1.0,0.7555,0.9988333333333334,0.93535428276028,1.0,0.8261078997844852,0.9992378651039726,6000,6000,6000,6000
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",7000,0.8917142857142857,1.0,0.7668571428571429,1.0,0.8917142857142857,1.0,0.7668571428571429,1.0,0.9266022177441997,1.0,0.8374725845563741,1.0,7000,7000,7000,7000
"[Predicate(key='token_count', value=48, operator='>='), Predicate(key='revdate', value='2025-02-19 07:41:33', operator='>=')]",10000,0.8331,1.0,0.8251,1.0,0.8331,1.0,0.8251,1.0,0.8938303943476205,1.0,0.8886155764333766,1.0,10000,10000,10000,10000
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.938545235751203,0.938545235751203,10,10,10,10
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",50,1.0,1.0,0.54,0.76,1.0,1.0,0.54,0.76,1.0,1.0,0.6865558267601902,0.8489041815859566,50,50,50,50
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",100,0.99,1.0,0.43,0.75,0.99,1.0,0.43,0.75,0.9944863634300897,1.0,0.5922987466163614,0.8368163595321066,100,100,100,100
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",200,0.975,1.0,0.605,0.84,0.975,1.0,0.605,0.84,0.9843809062245972,1.0,0.7269519356905103,0.8939134957547777,200,200,200,200
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",500,0.906,1.0,0.586,0.754,0.906,1.0,0.586,0.754,0.9377139899199949,1.0,0.7113188791251084,0.8315110606272725,500,500,500,500
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",1000,0.843,1.0,0.55,0.792,0.843,1.0,0.55,0.792,0.8913616867193364,1.0,0.6738852604258708,0.8564716376039939,1000,1000,1000,1000
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",2500,0.706,1.0,0.5676,0.8964,0.706,1.0,0.5676,0.8964,0.786700145940109,1.0,0.6817052594653493,0.9268731617867669,2500,2500,2500,2500
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",5000,0.5708,1.0,0.6542,0.9692,0.5708,1.0,0.6542,0.9692,0.6806065564862688,1.0,0.7468627700528798,0.9790420410242916,5000,5000,5000,5000
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",6000,0.9145,1.0,0.694,0.9826666666666667,0.9145,1.0,0.694,0.9826666666666667,0.9415150058742466,1.0,0.7790054021935483,0.9884717278266757,6000,6000,6000,6000
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",7000,0.9021428571428571,1.0,0.7335714285714285,0.9904285714285714,0.9021428571428571,1.0,0.7335714285714285,0.9904285714285714,0.9333525180604663,1.0,0.8097387801930301,0.9936435470804474,7000,7000,7000,7000
"[Predicate(key='token_count', value=55, operator='>='), Predicate(key='revdate', value='2025-02-19 03:19:48', operator='>=')]",10000,0.8583,1.0,0.7945,1.0,0.8583,1.0,0.7945,1.0,0.906798090595478,1.0,0.8616790702426997,1.0,10000,10000,10000,10000
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.938545235751203,0.938545235751203,10,10,10,10
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",50,1.0,1.0,0.52,0.52,1.0,1.0,0.52,0.52,1.0,1.0,0.6754020125637875,0.6754020125637875,50,50,50,50
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",100,1.0,1.0,0.42,0.75,1.0,1.0,0.42,0.75,1.0,1.0,0.5860848610195418,0.8356958217148901,100,100,100,100
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",200,0.975,1.0,0.52,0.83,0.975,1.0,0.52,0.83,0.9845621486082689,1.0,0.6635187101982278,0.8884168711996032,200,200,200,200
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",500,0.91,1.0,0.604,0.758,0.91,1.0,0.604,0.758,0.9408816948734547,1.0,0.7235186919917149,0.8347646146569228,500,500,500,500
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",1000,0.85,1.0,0.551,0.769,0.85,1.0,0.551,0.769,0.8962593718294666,1.0,0.6748026814322818,0.840411535608384,1000,1000,1000,1000
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",2500,0.712,1.0,0.544,0.8408,0.712,1.0,0.544,0.8408,0.7907840931120415,1.0,0.6616990986286571,0.8873139760526079,2500,2500,2500,2500
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",5000,0.58,1.0,0.6374,0.9386,0.58,1.0,0.6374,0.9386,0.6867281330857157,1.0,0.7325569328868491,0.957765347306957,5000,5000,5000,5000
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",6000,0.548,1.0,0.6595,0.9586666666666667,0.548,1.0,0.6595,0.9586666666666667,0.6605164344813699,1.0,0.7495294915758732,0.972259707998025,6000,6000,6000,6000
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",7000,0.9124285714285715,1.0,0.7102857142857143,0.9732857142857143,0.9124285714285715,1.0,0.7102857142857143,0.9732857142857143,0.9395811656480388,1.0,0.7888730304720672,0.9820656627516017,7000,7000,7000,7000
"[Predicate(key='token_count', value=60, operator='>='), Predicate(key='revdate', value='2025-02-18 23:52:16', operator='>=')]",10000,0.8725,1.0,0.7739,0.9939,0.8725,1.0,0.7739,0.9939,0.9146338028726334,1.0,0.8444269642375575,0.9961633141937408,10000,10000,10000,10000
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9396113592214987,0.9396113592214987,10,10,10,10
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",50,1.0,1.0,0.52,0.52,1.0,1.0,0.52,0.52,1.0,1.0,0.6796277404875113,0.6796277404875113,50,50,50,50
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",100,1.0,1.0,0.42,0.75,1.0,1.0,0.42,0.75,1.0,1.0,0.5897791463955873,0.8367654610869717,100,100,100,100
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",200,0.975,1.0,0.53,0.81,0.975,1.0,0.53,0.81,0.9847589322160447,1.0,0.6711741815875316,0.8738281625056079,200,200,200,200
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",500,0.916,1.0,0.588,0.728,0.916,1.0,0.588,0.728,0.9452222001861678,1.0,0.7106865353177328,0.8149986708005389,500,500,500,500
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",1000,0.869,1.0,0.507,0.738,0.869,1.0,0.507,0.738,0.90879257416462,1.0,0.6400892185341474,0.8137222957263309,1000,1000,1000,1000
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",2500,0.7332,1.0,0.5424,0.7944,0.7332,1.0,0.5424,0.7944,0.8057230103888802,1.0,0.6561594469383379,0.8521578436733472,2500,2500,2500,2500
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",5000,0.6062,1.0,0.602,0.9044,0.6062,1.0,0.602,0.9044,0.7053768363616175,1.0,0.7018963452678307,0.9325993784198912,5000,5000,5000,5000
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",6000,0.5726666666666667,1.0,0.6413333333333333,0.927,0.5726666666666667,1.0,0.6413333333333333,0.927,0.6781235179482257,1.0,0.733775799170495,0.9493805724741243,6000,6000,6000,6000
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",7000,0.543,1.0,0.6625714285714286,0.9437142857142857,0.543,1.0,0.6625714285714286,0.9437142857142857,0.6543953832848677,1.0,0.7511621892679856,0.9614929491302768,7000,7000,7000,7000
"[Predicate(key='token_count', value=65, operator='>='), Predicate(key='revdate', value='2025-02-18 20:11:42', operator='>=')]",10000,0.8854,1.0,0.7418,0.9818,0.8854,1.0,0.7418,0.9818,0.9216476460335571,1.0,0.8180041498568583,0.9882226314095592,10000,10000,10000,10000
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9396113592214987,0.9396113592214987,10,10,10,10
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",50,1.0,1.0,0.52,0.52,1.0,1.0,0.52,0.52,1.0,1.0,0.6805748073545804,0.6805748073545804,50,50,50,50
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",100,1.0,1.0,0.45,0.69,1.0,1.0,0.45,0.69,1.0,1.0,0.6111167197844808,0.7950004275957484,100,100,100,100
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",200,0.975,1.0,0.565,0.75,0.975,1.0,0.565,0.75,0.9848832848700513,1.0,0.6965513758437075,0.8364615915706114,200,200,200,200
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",500,0.926,1.0,0.546,0.724,0.926,1.0,0.546,0.724,0.9517550580678231,1.0,0.6778127367378528,0.8125399385556484,500,500,500,500
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",1000,0.881,1.0,0.499,0.733,0.881,1.0,0.499,0.733,0.9170411487179083,1.0,0.632799719461958,0.8099849143427827,1000,1000,1000,1000
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",2500,0.7508,1.0,0.5476,0.7796,0.7508,1.0,0.5476,0.7796,0.8186320041179892,1.0,0.6596887158534577,0.8400221913540061,2500,2500,2500,2500
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",5000,0.6262,1.0,0.5828,0.88,0.6262,1.0,0.5828,0.88,0.7202616309015394,1.0,0.6864377176111691,0.9150995083359496,5000,5000,5000,5000
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",6000,0.5856666666666667,1.0,0.6225,0.9105,0.5856666666666667,1.0,0.6225,0.9105,0.6887419952096073,1.0,0.7181875152799673,0.9371519115236044,6000,6000,6000,6000
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",7000,0.5574285714285714,1.0,0.6484285714285715,0.9265714285714286,0.5574285714285714,1.0,0.6484285714285715,0.9265714285714286,0.665767897115768,1.0,0.7393607520993202,0.9492622801344406,7000,7000,7000,7000
"[Predicate(key='token_count', value=70, operator='>='), Predicate(key='revdate', value='2025-02-18 16:38:27', operator='>=')]",10000,0.8898,1.0,0.7283,0.9655,0.8898,1.0,0.7283,0.9655,0.9244222793292683,1.0,0.8051203680350797,0.9773593392907001,10000,10000,10000,10000
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9402883957206721,0.9402883957206721,10,10,10,10
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6559867908015519,0.6559867908015519,50,50,50,50
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",100,1.0,1.0,0.46,0.7,1.0,1.0,0.46,0.7,1.0,1.0,0.6178236162451249,0.7986960744450612,100,100,100,100
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",200,0.975,1.0,0.565,0.75,0.975,1.0,0.565,0.75,0.9850112227327287,1.0,0.694035616665197,0.8329021615143386,200,200,200,200
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",500,0.934,1.0,0.576,0.714,0.934,1.0,0.576,0.714,0.9568649004272582,1.0,0.6958607972241778,0.8061123554386577,500,500,500,500
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",1000,0.888,1.0,0.532,0.71,0.888,1.0,0.532,0.71,0.9217641214233446,1.0,0.6582734756563507,0.7920709904940073,1000,1000,1000,1000
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",2500,0.7672,1.0,0.5472,0.7624,0.7672,1.0,0.5472,0.7624,0.830273832469541,1.0,0.6584767435217307,0.8268242419817532,2500,2500,2500,2500
